Age,Qualifications,Tasks_completed,Due_tasks,Awards,Experience,AttendancePercentage,promoted
55,PhD,30,8,0,14,86.58,0
46,B.Tech,84,5,7,11,95.33,1
35,MSC,64,12,3,12,88.62,1
33,PhD,4,3,8,17,90.26,0
44,PhD,54,0,3,12,60.12,0
33,B.Tech,4,15,9,3,59.07,0
47,M.Tech,21,12,6,25,86.36,1
55,PhD,52,14,14,13,92.17,1
35,MSC,5,1,0,18,51.02,0
26,MSC,96,14,2,7,65.93,1
47,MBA,78,7,12,29,70.34,1
23,BSC,24,9,14,19,90.82,1
47,BSC,66,16,2,20,56.52,0
28,MSC,23,7,10,8,73.31,0
26,B.Tech,25,17,13,13,57.85,0
47,MSC,59,19,3,7,64.45,0
42,BBA,65,15,14,2,51.97,0
62,MBA,52,9,3,8,90.01,1
31,BSC,63,4,8,29,95.34,1
38,MBA,81,0,11,2,54.31,0
43,MSC,17,2,12,10,75.26,0
45,MBA,13,19,8,1,62.71,0
38,BBA,82,7,14,5,65.32,1
38,MBA,41,8,6,23,79.38,1
44,M.Tech,81,15,6,3,90.52,1
29,BBA,14,0,14,14,98.02,1
55,BBA,33,17,7,4,99.26,1
52,MSC,16,18,10,9,79.99,0
39,PhD,21,1,14,8,63.76,0
45,M.Tech,69,13,9,6,66.9,1
40,BSC,96,10,2,4,71.17,1
44,MBA,73,3,8,11,92.3,1
64,MBA,56,1,10,24,65.07,1
24,MSC,71,16,11,3,61.01,1
53,M.Tech,49,9,8,21,51.27,1
45,B.Tech,77,3,8,18,68.19,1
41,MSC,98,0,10,10,72.42,1
33,PhD,27,6,3,8,65.02,0
37,B.Tech,24,6,10,8,88.51,0
23,B.Tech,71,16,10,2,60.11,1
36,MBA,60,12,12,26,88.92,1
27,MSC,53,7,4,13,83.57,1
49,PhD,13,4,2,28,92.22,1
30,M.Tech,57,2,6,19,84.07,1
49,BSC,84,15,14,14,57.02,1
47,B.Tech,3,0,8,10,82.9,0
23,MSC,43,12,11,20,60.11,1
36,MBA,93,10,3,15,96.46,1
34,B.Tech,23,15,13,10,58.33,0
58,BBA,29,14,0,23,68.48,0
26,BBA,91,13,7,20,85.42,1
36,BSC,82,18,11,25,51.99,1
24,MBA,19,16,14,22,59.86,0
50,MSC,13,19,4,22,76.37,0
64,M.Tech,5,9,10,21,92.59,1
44,BSC,21,19,12,10,77.95,0
58,MSC,77,0,10,11,93.51,1
48,B.Tech,32,3,10,11,53.25,0
43,BBA,85,1,11,6,92.38,1
61,BBA,48,11,11,6,89.98,1
44,MBA,84,9,1,28,69.97,1
59,BSC,36,10,10,5,67.57,0
49,M.Tech,96,10,11,20,61.38,1
33,MBA,73,9,13,22,82.9,1
59,MBA,74,8,8,26,63.84,1
25,BSC,55,7,2,10,55.29,0
48,BSC,6,1,9,2,84.23,0
63,MBA,7,14,6,29,92.53,0
46,BSC,30,13,10,18,92.88,0
42,MSC,52,19,6,29,58.81,1
50,M.Tech,55,6,10,20,59.61,1
57,MBA,91,4,3,14,87.77,1
57,MSC,18,12,4,13,59.73,0
60,BSC,10,10,3,23,90.86,1
36,BSC,28,16,7,24,51.39,0
56,PhD,97,10,10,4,76.34,1
62,BSC,91,18,4,14,91.87,1
27,M.Tech,52,2,13,7,82.97,0
36,MBA,82,1,6,4,62.59,1
25,M.Tech,79,15,8,18,53.34,0
64,BSC,70,0,0,15,64.74,0
27,MSC,79,7,12,19,97.91,1
51,B.Tech,36,13,7,29,60.61,0
33,MBA,45,11,14,1,66.84,0
32,MSC,63,4,13,13,53.66,1
29,PhD,55,3,8,13,62.53,0
36,MSC,81,3,12,2,99.42,1
40,MSC,82,9,8,10,51.37,1
48,B.Tech,66,11,1,24,99.26,1
55,B.Tech,77,9,9,6,88.84,1
30,BSC,31,5,8,28,54.31,0
38,BBA,80,5,13,21,60.21,1
45,M.Tech,40,18,6,28,63.39,0
35,BBA,74,16,6,16,59.23,0
37,MSC,92,14,9,6,71.13,1
48,BBA,59,15,6,11,58.88,0
60,MSC,42,10,7,29,53.21,0
40,BSC,38,8,2,8,80.25,0
53,PhD,38,7,5,24,97.72,1
35,MSC,27,3,12,13,73.05,0
27,MSC,72,17,6,4,86.97,1
35,B.Tech,72,6,10,18,57.21,1
63,B.Tech,90,7,9,24,99.17,1
29,M.Tech,88,13,3,29,84.1,1
45,PhD,32,13,14,10,69.96,0
41,MBA,76,7,1,18,58.48,0
62,BBA,4,6,4,23,57.96,0
47,BBA,64,11,4,18,71.94,1
26,BSC,37,4,9,24,78.55,1
62,M.Tech,84,16,5,24,65.77,1
23,BBA,18,13,2,19,52.87,0
32,M.Tech,38,7,1,2,63.46,0
32,MBA,47,12,6,29,52.83,1
38,BBA,92,15,14,10,71.59,1
47,B.Tech,62,8,12,10,71.26,1
21,B.Tech,2,17,12,28,63.05,0
38,B.Tech,53,10,0,13,97.16,1
36,B.Tech,80,10,4,16,80.68,1
61,M.Tech,11,18,12,21,61.89,0
34,PhD,98,3,2,6,79.52,1
56,M.Tech,87,19,11,4,76.7,1
46,MBA,34,19,4,13,84.63,0
43,BBA,23,1,11,24,72.48,1
32,MBA,97,7,5,1,57.02,0
40,MSC,14,2,11,14,70.11,0
51,MSC,17,16,11,22,77.16,1
54,PhD,79,2,3,8,65.94,1
43,MSC,41,3,1,1,64.84,0
61,MSC,81,2,12,21,75.36,1
45,M.Tech,37,3,3,3,94.38,1
41,MSC,81,10,12,29,82.61,1
51,BSC,81,2,0,17,87.79,1
60,MBA,50,4,14,23,86.73,1
55,MBA,57,8,5,2,50.97,1
40,PhD,17,6,1,28,90.59,0
25,MBA,51,16,9,23,62.55,0
47,B.Tech,47,5,11,17,50.79,0
43,M.Tech,84,1,2,22,88.52,1
53,MBA,46,11,7,24,95.54,1
46,PhD,44,11,2,21,90.14,0
54,B.Tech,47,1,3,24,64.77,1
44,BSC,78,9,8,7,74.87,1
22,B.Tech,23,15,10,25,50.87,0
49,B.Tech,50,13,3,25,71.39,0
30,M.Tech,30,6,13,17,56.3,0
64,BSC,70,2,2,1,63.68,0
26,MSC,89,6,4,26,96.95,1
45,MSC,25,17,11,7,93.58,0
37,PhD,66,15,1,14,64.95,0
58,M.Tech,82,16,8,2,65.14,1
26,BSC,80,0,5,6,55.89,1
51,MSC,5,4,0,12,54.44,0
45,MBA,68,11,5,20,62.22,1
29,M.Tech,99,10,3,9,81.05,1
49,MSC,49,7,1,16,71.27,1
40,M.Tech,27,10,7,16,72.74,0
41,MSC,29,19,9,19,77.14,0
25,B.Tech,18,3,8,23,94.72,0
41,BBA,15,6,5,22,66.77,0
35,BSC,60,3,10,1,56.37,1
61,M.Tech,72,10,14,10,98.38,1
24,PhD,11,5,0,13,94.53,0
43,B.Tech,8,13,0,7,96.84,0
23,MBA,37,5,6,17,63.97,0
51,M.Tech,40,5,12,5,74.88,1
37,BBA,96,6,10,4,71.41,1
37,MBA,50,6,4,28,92.02,1
60,MSC,27,15,0,1,61.29,0
59,B.Tech,21,6,4,7,81.79,0
61,MBA,90,17,8,5,77.45,1
64,BBA,46,12,5,13,55.81,0
51,BSC,68,16,8,13,51.59,0
51,BBA,78,2,5,6,84.54,1
41,BSC,23,2,11,9,68.01,0
56,BBA,52,0,4,25,74.93,1
44,BBA,85,0,2,9,68.11,1
28,BSC,40,7,9,6,98.94,1
56,M.Tech,3,18,9,4,52.71,0
33,M.Tech,75,12,11,24,69.26,1
35,M.Tech,30,19,11,17,84.97,1
40,BSC,28,15,1,28,59.45,0
41,B.Tech,78,16,13,20,83.41,1
40,B.Tech,83,17,8,23,79.59,1
44,MSC,14,1,5,28,85.03,1
39,PhD,38,3,9,23,98.27,1
38,MBA,3,6,10,5,86.93,0
64,MSC,71,7,7,16,96.31,1
34,BSC,31,16,11,1,52.25,0
56,PhD,83,5,10,18,62.16,1
57,MBA,12,11,13,13,89.99,0
57,MBA,4,4,9,17,92.08,0
42,MBA,85,18,13,18,73.75,1
37,BSC,78,19,9,3,53.48,0
37,BBA,16,14,8,19,62.6,0
63,B.Tech,22,10,10,8,51.15,0
46,BSC,20,13,2,17,96.06,1
53,B.Tech,83,13,5,8,87.62,1
32,BBA,48,2,4,17,59.9,0
63,M.Tech,65,5,3,14,54.21,1
64,BSC,66,8,2,18,92.73,1
53,M.Tech,1,19,10,7,71.14,0
56,M.Tech,63,19,10,9,59.63,1
62,MSC,74,10,13,25,74.43,1
54,MSC,14,15,1,1,58.52,0
62,BBA,88,3,11,10,54.84,1
37,M.Tech,16,6,9,23,68.8,0
48,MBA,64,8,6,26,66.57,1
58,BSC,79,3,0,17,82.98,1
25,B.Tech,88,18,0,20,93.13,1
48,MBA,7,15,8,25,94.32,0
44,B.Tech,22,14,10,1,50.48,0
43,BSC,61,4,1,27,72.04,1
63,B.Tech,52,10,6,5,91.09,1
25,MBA,3,4,10,13,52.18,0
27,M.Tech,35,12,11,15,57.96,0
29,BSC,78,12,7,22,92.45,1
53,BSC,29,14,3,7,88.96,0
46,M.Tech,51,13,9,5,69.25,0
54,PhD,96,9,2,19,92.59,1
25,M.Tech,44,19,0,6,50.5,0
39,PhD,22,16,12,5,83.42,0
33,MBA,7,7,11,14,54.21,0
64,B.Tech,63,19,4,26,68.8,1
42,M.Tech,15,15,3,13,51.5,0
43,PhD,7,14,12,24,80.46,0
55,B.Tech,42,18,10,9,57.87,0
48,BSC,88,5,3,1,58.53,1
47,M.Tech,11,7,12,25,52.92,0
30,MSC,17,2,4,20,74.74,0
54,B.Tech,27,14,2,4,65.37,0
31,BSC,17,10,5,3,74.59,0
29,BSC,52,17,10,26,91.42,1
27,BSC,60,11,13,16,72.37,0
29,PhD,36,2,3,9,77.31,0
23,M.Tech,44,9,6,17,62.22,0
57,M.Tech,99,7,5,10,93.04,1
21,BSC,13,13,1,5,82.21,0
47,M.Tech,58,18,3,22,58.52,0
36,BSC,26,17,5,27,95.29,1
43,BBA,66,6,14,7,79.62,1
49,B.Tech,65,18,9,6,63.13,0
58,MSC,49,16,11,1,76.64,1
46,B.Tech,29,2,4,24,98.38,1
43,B.Tech,30,15,0,6,93.96,0
44,PhD,68,13,7,3,94.44,1
38,BSC,88,0,5,18,66.83,1
29,B.Tech,29,9,11,11,84.57,1
32,BSC,6,15,1,15,56.83,0
31,MBA,83,2,1,2,80.09,1
32,M.Tech,94,7,11,5,83.13,1
43,BBA,50,1,4,17,64.02,1
30,MSC,25,5,5,26,59.68,0
36,BSC,48,19,1,14,98.23,1
42,BBA,2,7,5,19,60.32,0
41,BBA,98,3,0,24,68.87,1
30,BSC,79,4,8,15,63.03,1
55,PhD,46,8,0,26,79.36,1
38,PhD,48,14,9,8,74.17,0
52,BBA,31,1,5,23,58.16,0
48,BBA,52,16,1,24,78.9,1
23,M.Tech,95,0,0,9,80.92,1
21,PhD,3,0,12,18,99.63,0
26,BSC,77,10,0,19,95.85,1
33,PhD,20,4,8,13,55.62,0
41,MSC,2,8,10,20,54.77,0
42,MBA,91,12,4,6,93.86,1
62,PhD,4,3,6,16,64.64,0
24,MSC,2,10,8,28,78.72,0
25,MSC,94,6,4,23,86.78,1
51,M.Tech,12,11,13,26,92.16,0
64,MBA,16,7,11,28,87.99,1
36,B.Tech,63,18,1,9,58.94,1
57,BBA,97,17,3,24,85.26,1
44,MBA,57,15,10,19,54.57,1
44,PhD,73,15,6,5,76.38,1
27,MBA,75,15,11,24,51.73,1
61,MSC,99,15,14,8,54.94,1
40,MBA,86,10,9,22,65.86,1
62,PhD,86,17,10,4,69.94,1
27,MSC,3,3,5,19,75.26,0
61,BBA,2,7,10,23,90.21,0
49,BBA,34,14,3,10,64.92,0
40,M.Tech,4,11,1,2,65.75,0
60,B.Tech,39,18,2,15,91.98,1
36,BBA,19,11,4,23,83.43,1
60,B.Tech,72,19,6,5,59.97,1
26,BBA,11,0,7,29,71.01,0
50,PhD,71,10,14,2,65.67,0
40,BSC,60,6,4,11,51.48,0
52,MSC,71,4,14,22,86.28,1
42,B.Tech,23,7,11,14,56.93,0
25,B.Tech,38,4,7,2,81,0
25,B.Tech,92,17,13,20,51.5,1
37,B.Tech,14,15,2,16,78.08,0
26,MBA,96,0,4,23,57.95,1
34,BSC,95,5,3,16,82.11,1
60,PhD,43,12,2,22,81.53,1
63,MBA,39,18,0,28,92.24,1
25,BSC,81,15,9,14,70.28,1
40,BBA,97,9,8,13,90.5,1
46,MSC,93,16,10,22,68.72,1
28,B.Tech,50,4,0,22,67.33,0
51,B.Tech,72,8,5,1,89.84,1
59,M.Tech,83,3,12,16,93.89,1
59,B.Tech,19,17,4,24,89.15,0
29,PhD,92,18,6,15,74.73,1
55,B.Tech,89,19,9,22,69.96,1
54,B.Tech,72,9,14,10,61.26,0
21,BBA,53,16,3,28,65.56,0
46,B.Tech,7,19,13,24,73.58,0
52,B.Tech,76,19,3,13,79.54,1
22,BBA,27,10,3,24,53.34,0
33,MBA,53,15,6,23,98.89,1
36,B.Tech,65,17,10,16,60.73,1
22,B.Tech,13,12,11,23,64.56,0
49,MBA,41,16,2,5,66.02,0
26,MSC,34,4,11,3,58.66,0
31,B.Tech,34,9,13,11,63.28,0
22,BBA,60,4,8,25,54.04,1
34,B.Tech,80,11,7,19,68.96,1
48,MBA,99,3,1,15,90.01,1
49,BSC,74,14,3,25,68.18,1
63,PhD,12,12,8,22,79.36,0
25,MSC,20,19,3,5,72.1,0
46,MSC,35,13,1,23,55.25,0
55,MSC,27,17,1,19,81.26,0
38,BSC,31,15,6,27,87.58,0
48,MBA,37,1,7,13,88.37,0
42,B.Tech,28,16,13,4,55.25,0
48,BSC,94,5,2,2,72.88,1
24,BBA,23,7,2,7,91.05,0
39,BBA,73,4,13,13,81.65,1
28,MSC,17,19,6,27,88.06,1
64,BSC,61,17,3,20,65.57,1
42,PhD,32,6,11,24,58.03,1
39,B.Tech,88,7,12,15,88.14,1
30,BSC,47,10,10,3,74.98,1
36,PhD,35,0,8,23,52.25,0
33,MBA,22,5,8,9,69.37,0
22,B.Tech,30,5,12,24,68.84,1
23,BSC,52,2,4,18,75.58,1
51,MBA,24,18,11,24,91.89,1
44,M.Tech,65,14,13,10,82.45,1
45,M.Tech,55,15,10,29,70.76,1
60,BSC,81,17,14,6,67.16,1
31,PhD,85,5,5,2,78.16,1
63,M.Tech,3,10,0,18,98.42,1
23,MSC,64,11,3,13,87.55,1
34,BSC,57,2,4,4,50.98,0
59,MBA,95,4,7,9,58.77,1
55,BSC,91,6,0,9,86.23,1
42,BBA,40,9,14,5,97.85,1
26,MBA,51,1,10,2,90.02,1
52,PhD,79,2,0,9,86.97,1
63,BBA,73,14,0,14,94.33,1
35,MBA,91,13,8,19,86.51,1
39,PhD,58,3,0,23,83.42,1
32,PhD,48,14,13,21,50.65,0
46,M.Tech,7,2,6,25,55,0
39,MSC,44,1,8,12,94.94,1
62,B.Tech,90,3,8,4,94.86,1
29,M.Tech,77,8,7,8,73.25,1
46,B.Tech,51,2,6,20,73.84,0
56,B.Tech,22,0,1,25,63.14,0
41,MSC,55,8,6,4,92.95,1
33,B.Tech,8,19,12,8,52.26,0
58,M.Tech,38,15,7,15,82.86,1
45,PhD,49,5,5,4,62.32,0
22,PhD,58,11,12,24,51.85,1
27,MSC,42,15,1,12,73.45,0
43,BBA,81,17,4,9,79.88,1
39,MSC,14,9,14,20,55.64,0
37,MBA,18,0,2,22,86.81,0
43,B.Tech,1,11,8,29,64.37,0
55,BSC,24,9,8,1,68.44,0
37,B.Tech,51,12,8,26,61.28,0
39,MSC,92,0,13,20,55.05,1
60,PhD,43,3,1,3,78.84,0
52,BSC,46,11,14,21,84.81,1
31,B.Tech,29,0,5,10,86.69,0
27,PhD,29,5,9,25,71.31,1
50,MBA,46,19,1,29,92.28,1
44,B.Tech,46,4,3,4,98.9,1
43,B.Tech,10,5,13,4,56.53,0
52,M.Tech,60,13,0,3,71.9,0
23,M.Tech,87,5,12,29,68.02,1
50,PhD,97,11,1,17,85.75,1
48,BBA,39,0,14,8,80.08,1
55,MSC,81,0,0,22,92.26,1
37,MSC,77,11,10,26,61.9,1
21,BSC,8,3,14,9,56.23,0
31,B.Tech,31,0,14,15,65.75,0
21,BSC,72,12,13,14,91.62,1
51,M.Tech,9,7,13,17,71.41,0
33,M.Tech,66,3,12,2,60.79,1
22,PhD,52,4,3,10,94.43,0
24,B.Tech,87,14,11,29,83.14,1
35,M.Tech,61,2,3,15,58.74,0
58,BBA,94,3,5,7,80.07,1
44,BBA,13,4,7,11,93.83,0
32,MSC,51,7,14,26,67.72,0
21,MBA,40,3,8,18,59.62,0
51,B.Tech,31,8,1,5,93.38,0
61,B.Tech,70,15,9,16,70.66,1
60,MSC,96,17,13,5,58.24,1
37,MBA,78,19,9,17,69.26,1
30,BSC,27,17,7,15,79.67,0
22,M.Tech,95,14,14,2,97.69,1
33,B.Tech,5,4,6,15,55.61,0
45,MSC,82,1,0,23,72.66,1
21,M.Tech,57,16,4,11,50.56,0
26,BBA,43,11,9,10,73.98,0
32,B.Tech,95,16,12,12,70.46,1
53,B.Tech,7,15,12,27,72.85,0
43,BBA,99,5,7,7,95.82,1
53,MBA,50,18,14,13,64.89,1
22,BBA,81,2,11,5,81.39,1
28,PhD,2,13,11,17,50.39,0
49,MSC,2,2,7,20,88.61,0
56,B.Tech,69,7,14,16,86.34,1
40,MBA,92,13,4,26,97.74,1
58,B.Tech,44,6,13,26,53.12,1
43,BBA,76,13,12,17,88.5,1
51,BSC,33,10,11,6,92.52,1
50,PhD,98,9,10,17,71.67,1
56,BBA,83,6,4,15,58.96,1
42,M.Tech,33,3,0,10,72.85,0
46,B.Tech,86,19,1,24,87.85,1
44,BSC,85,10,1,22,99.09,1
58,BSC,11,3,8,10,51.64,0
36,MBA,53,19,5,5,65.37,0
62,BBA,72,1,1,28,61.21,1
52,BSC,94,2,13,6,86.25,1
63,PhD,92,9,7,9,69.94,1
33,MSC,56,8,6,5,76.13,0
39,MSC,25,0,3,18,83,0
41,M.Tech,5,17,14,6,67.17,0
52,BBA,85,1,14,17,86.25,1
61,PhD,94,7,2,2,57.01,1
62,BBA,9,1,11,17,90.04,1
63,BSC,96,0,13,29,65.95,1
48,MSC,7,7,13,13,80.69,0
42,BBA,84,14,2,13,70.08,1
40,PhD,89,4,14,13,64.65,1
36,PhD,75,10,5,15,75.19,1
33,MBA,6,17,7,17,99.03,0
47,MBA,44,12,14,18,99.43,1
61,MBA,73,1,12,23,56.37,1
42,MSC,42,16,13,28,78.18,1
49,M.Tech,87,15,1,12,69.56,1
41,B.Tech,79,1,13,19,90.81,1
43,PhD,19,6,0,21,80.44,1
55,MBA,27,16,10,13,94.04,1
30,B.Tech,16,17,3,26,84.53,0
56,BSC,76,14,1,4,70,1
42,MBA,87,17,2,8,63.09,1
39,PhD,94,7,9,23,66.47,1
49,BSC,96,17,8,4,75.19,1
24,BSC,14,13,0,25,95.18,0
52,PhD,21,18,7,21,70.42,0
58,MBA,88,14,12,12,93.88,1
47,BBA,10,13,1,6,93.64,0
29,MSC,3,17,0,28,64.19,0
45,M.Tech,10,8,3,22,59.59,0
29,B.Tech,87,2,9,13,51.25,1
46,M.Tech,33,7,5,14,79.43,1
41,MBA,58,1,7,1,85.75,1
55,BSC,78,4,3,1,73.22,1
63,BSC,8,12,1,5,98.38,0
35,MBA,35,8,2,27,80.47,1
42,MBA,8,0,14,21,78.45,0
43,MSC,15,19,6,14,55.73,0
30,B.Tech,76,8,0,5,89.69,1
50,BSC,13,1,8,24,64.66,0
46,MSC,76,6,5,11,64.53,1
60,BBA,68,15,4,19,90.55,1
26,PhD,18,4,6,13,86.75,1
29,BBA,76,6,4,21,59.08,1
46,B.Tech,55,0,2,17,77.31,1
25,MSC,47,7,4,18,84.48,0
45,B.Tech,47,13,6,3,95.43,1
21,BBA,91,6,3,15,73.91,1
41,B.Tech,44,16,0,14,72.32,0
37,B.Tech,64,18,5,1,50.68,0
47,BSC,28,5,8,29,82.03,1
56,PhD,94,12,0,5,57.1,0
32,BSC,98,17,6,28,79.94,1
21,M.Tech,51,8,5,10,50.99,0
61,BSC,76,19,1,21,71.83,1
41,MSC,18,9,6,7,70.45,0
51,BBA,50,8,3,11,85.9,1
45,MBA,57,14,0,21,84.37,1
44,BSC,17,15,11,5,52.54,0
34,MSC,42,8,6,11,57.13,0
36,M.Tech,74,8,13,9,93.4,1
63,MBA,32,2,1,13,63.35,0
50,BSC,70,0,2,28,95.15,1
63,BSC,64,19,2,24,72.86,1
41,PhD,18,16,1,21,77.8,0
56,MBA,10,2,2,12,57.09,0
22,B.Tech,63,16,11,22,99.47,1
37,MBA,7,11,8,7,54.41,0
54,M.Tech,66,10,4,14,62.87,1
46,BBA,54,0,9,17,89.15,1
31,MBA,4,13,9,9,63.69,0
29,MBA,9,15,3,4,71,0
26,BBA,27,16,1,12,93.2,0
30,BSC,12,8,4,4,58.42,0
62,B.Tech,73,1,2,19,50.32,1
27,PhD,15,5,10,5,83.81,0
31,BSC,33,15,13,23,74.28,0
41,B.Tech,54,15,10,23,55.14,1
32,BSC,67,18,6,26,93.55,1
24,MSC,78,12,8,11,57.19,0
52,BSC,54,17,10,15,62.28,0
29,BBA,12,2,1,16,91.25,0
29,BSC,10,8,13,5,52.49,0
32,M.Tech,15,16,7,29,70.45,0
23,PhD,52,7,13,23,57.45,0
21,MSC,56,9,13,15,65.18,0
61,BBA,83,9,0,12,80.88,1
62,BBA,39,19,5,13,71.35,0
48,B.Tech,76,13,7,23,54.13,1
49,B.Tech,44,16,3,10,50.37,0
31,M.Tech,53,11,12,22,86.32,1
22,PhD,12,6,2,10,71.64,0
46,BBA,95,3,2,11,88.2,1
57,PhD,77,5,2,6,73.96,1
25,BBA,43,7,12,22,52.62,0
55,MBA,89,6,10,24,98.48,1
47,M.Tech,99,19,12,7,66.49,1
40,BBA,2,0,13,25,86.83,1
36,B.Tech,26,12,2,7,77.79,0
52,BBA,94,3,14,2,50.79,1
24,PhD,86,10,0,9,66.13,1
40,MBA,21,18,3,2,51.18,0
51,MSC,66,0,13,1,80.45,0
46,MBA,13,12,7,24,75.56,0
50,B.Tech,28,5,6,27,77.11,0
47,BSC,89,11,3,19,60.33,1
57,PhD,57,18,10,13,79.83,1
63,M.Tech,37,3,0,12,89.98,0
53,B.Tech,66,3,2,20,84.23,1
52,BBA,1,14,10,13,52.13,0
50,PhD,84,1,0,22,89.25,1
24,M.Tech,1,16,7,5,55.94,0
50,BBA,9,7,11,25,51.06,0
35,BSC,23,5,13,9,76.76,0
48,BBA,35,10,0,26,70.92,1
54,M.Tech,44,1,9,4,69.71,1
21,B.Tech,11,0,14,21,78.11,1
30,PhD,77,8,0,5,85.72,1
24,B.Tech,39,0,7,18,68.5,0
60,M.Tech,72,4,13,8,90.06,1
55,BBA,45,4,9,3,72.25,1
59,BBA,56,3,14,5,54.18,0
29,B.Tech,34,15,13,2,74.38,0
32,BSC,78,7,6,24,87.54,1
55,MSC,35,12,11,4,78.67,0
64,BBA,50,2,0,20,55.94,0
44,MBA,32,12,0,1,55.54,0
57,B.Tech,55,18,3,5,83.91,1
44,MSC,56,14,12,21,71.14,1
59,M.Tech,54,8,10,9,92.23,1
47,MBA,72,16,11,2,60.89,1
38,MSC,9,9,7,16,58.52,0
48,PhD,59,8,3,22,56,1
27,B.Tech,58,15,12,11,81.93,1
31,BBA,21,5,10,17,55.57,0
29,PhD,91,8,13,15,50.16,1
26,MSC,5,14,8,7,52.75,0
28,PhD,69,5,6,9,53.65,0
43,BBA,36,15,0,7,78.1,0
27,BBA,49,11,9,26,62.8,1
61,B.Tech,49,18,1,5,74.63,1
49,PhD,40,13,1,15,88.15,0
40,MBA,46,1,14,9,55.58,0
31,BSC,48,4,4,19,64.73,0
59,B.Tech,51,18,3,7,80.59,0
45,MBA,12,0,7,8,81.44,0
57,B.Tech,30,19,6,28,56.81,1
31,M.Tech,18,12,11,25,51.33,0
24,PhD,26,1,1,18,93.37,1
35,B.Tech,78,7,12,5,50.15,0
55,BBA,77,15,12,19,91.84,1
34,BSC,98,18,12,28,67.32,1
43,MBA,47,11,9,27,53.92,1
49,MBA,41,4,3,12,95.53,0
56,PhD,22,6,13,29,61.35,0
45,M.Tech,65,11,10,13,89.56,1
57,MSC,27,10,7,26,83.8,1
46,MSC,60,10,7,15,52.5,0
32,BBA,42,8,8,24,51.47,1
62,MBA,11,17,14,18,63.68,0
50,MBA,8,2,3,15,99.08,0
34,MSC,83,4,12,8,99.58,1
63,MSC,21,12,10,16,64.65,0
55,M.Tech,11,12,14,9,50.78,0
30,BBA,52,9,9,7,61.96,0
27,B.Tech,71,19,4,8,92.12,1
41,M.Tech,85,15,7,20,58.06,1
60,MSC,76,9,10,11,69.88,1
43,MSC,80,13,3,13,82.53,1
54,M.Tech,19,3,4,27,50,0
33,PhD,34,19,2,24,51.35,0
49,MSC,54,17,14,21,90.44,1
43,B.Tech,21,7,12,23,52.4,0
40,BSC,79,3,1,10,72.32,1
46,BBA,25,0,4,8,85.55,0
42,BSC,61,4,12,3,59.76,1
